,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
0,16.55167959,33.16329393,14.9076,0.7958,"POLYGON((33.1633093753363 16.5516592411626, 33.1633094095836 16.551699920734, 33.1632784896943 16.5516999449471, 33.1632784554534 16.5516592653757, 33.1633093753363 16.5516592411626))",7G8MH527+M8F3
1,14.26137302,33.23231854,10.4416,0.6712,"POLYGON((33.2323304105924 14.2613558819302, 33.2323346642429 14.2613864593439, 33.2323066828492 14.2613901620748, 33.2323024292025 14.2613595846608, 33.2323304105924 14.2613558819302))",7G6M766J+GWWR
2,15.33950479,32.4272261,41.6897,0.8155,"POLYGON((32.4272752089402 15.3394979099283, 32.4272647679181 15.3395349717502, 32.4271769907539 15.3395116845413, 32.4271874317904 15.3394746227235, 32.4272752089402 15.3394979099283))",7G7J8CQG+RV52
3,15.61669658,32.69821868,36.942,0.8427,"POLYGON((32.6982289907725 15.6167406257772, 32.6981921598088 15.6167337170365, 32.6982083757811 15.6166525278456, 32.6982452067309 15.6166594365834, 32.6982289907725 15.6167406257772))",7G7JJM8X+M7GX
4,15.50358309,32.55746805,226.3901,0.8525,"POLYGON((32.5575224317071 15.5036393800082, 32.5574918107054 15.5036357572373, 32.5574870740425 15.503673399445, 32.5573968973327 15.5036627306138, 32.5574156457207 15.5035137378036, 32.5574677844316 15.5035199063529, 32.5574712248759 15.5034925651778, 32.5575398837882 15.5035006882185, 32.5575224317071 15.5036393800082))",7G7JGH34+CXP9
5,15.53969025,30.02878844,67.1472,0.8078,"POLYGON((30.0288384394988 15.5396599162567, 30.0288420477398 15.5397141019387, 30.0287384527415 15.5397205855756, 30.0287348445282 15.5396663998965, 30.0288384394988 15.5396599162567))",7G7GG2QH+VGFJ
6,14.41403695,33.28193784,35.716,0.8505,"POLYGON((33.2819779497031 14.414042393954, 33.2819470611071 14.4140753834178, 33.2818977332437 14.4140315093105, 33.2819286218411 14.4139985198529, 33.2819779497031 14.414042393954))",7G6MC77J+JQ8C
7,15.12865542,32.91363014,9.877,0.8008,"POLYGON((32.9136494242042 15.128662749801, 32.9136204597282 15.1286732068856, 32.9136108555872 15.1286481045382, 32.9136398200601 15.1286376474548, 32.9136494242042 15.128662749801))",7G7J4WH7+FF66
8,15.63031895,32.43562915,13.377,0.7066,"POLYGON((32.4356413802872 15.6302980225806, 32.4356453546699 15.6303371775944, 32.4356169373205 15.6303398862158, 32.4356129629431 15.6303007312017, 32.4356413802872 15.6302980225806))",7G7JJCJP+47CJ
9,14.51014552,33.06431657,20.909,0.7286,"POLYGON((33.0643447093675 14.5101351127339, 33.0643312678284 14.5101711152836, 33.0642884181802 14.5101559316532, 33.0643018597253 14.5101199291059, 33.0643447093675 14.5101351127339))",7G6MG367+3P4R
10,15.51129891,32.52995435,12.7351,0.7022,"POLYGON((32.5299765225376 15.5112873191254, 32.5299756838076 15.5113118613843, 32.5299321775245 15.5113104635595, 32.5299330162597 15.5112859213012, 32.5299765225376 15.5112873191254))",7G7JGG6H+GX8W
11,16.14739745,32.64250675,27.1023,0.6748,"POLYGON((32.642496 16.1473612, 32.6425426 16.1474122, 32.6425175 16.1474337, 32.6424709 16.1473827, 32.642496 16.1473612))",7G8J4JWV+X22R
12,14.32941243,33.60791339,8.3026,0.6677,"POLYGON((33.6079282819123 14.3294001995154, 33.6079199315477 14.3294303165649, 33.607898486713 14.329424664051, 33.6079068370805 14.3293945470021, 33.6079282819123 14.3294001995154))",7G6M8JH5+Q57C
13,15.58975182,32.63967916,251.8526,0.8743,"POLYGON((32.6397368 15.5896568, 32.6397368 15.5898357, 32.6396722 15.5898357, 32.6396722 15.5898602, 32.639625 15.5898602, 32.6396251 15.5896568, 32.6397368 15.5896568))",7G7JHJQQ+WV34
14,14.41112345,33.57979101,8.9289,0.6676,"POLYGON((33.5798024164288 14.4111059725654, 33.5798001456069 14.4111421404478, 33.5797796072965 14.4111409154664, 33.5797818781216 14.4111047475841, 33.5798024164288 14.4111059725654))",7G6MCH6H+CWVV
15,15.48931895,32.36274715,53.5404,0.8497,"POLYGON((32.3627765 15.4892794, 32.3627729 15.4893608, 32.3627178 15.4893585, 32.3627214 15.4892771, 32.3627765 15.4892794))",7G7JF9Q7+P3HQ
16,17.88032754,33.96349856,39.4962,0.8173,"POLYGON((33.9635384537648 17.8803096872507, 33.9635324779402 17.8803544334981, 33.9634586733893 17.8803453967752, 33.9634646492323 17.8803006505293, 33.9635384537648 17.8803096872507))",7G9MVXJ7+49Q5
17,15.72622596,32.46885296,151.3101,0.8908,"POLYGON((32.4689291086964 15.7261861367599, 32.4689256675099 15.726271415388, 32.468776812927 15.72626578026, 32.4687802541754 15.7261805016367, 32.4689291086964 15.7261861367599))",7G7JPFG9+FGX3
18,15.72103714,32.48286025,24.0332,0.6796,"POLYGON((32.4828773257534 15.7210049914192, 32.4828737745298 15.7210708337636, 32.4828431894655 15.7210692861064, 32.4828467406989 15.7210034437627, 32.4828773257534 15.7210049914192))",7G7JPFCM+C49G
19,14.48839646,33.41418103,32.2234,0.7535,"POLYGON((33.4141849407935 14.4884412295308, 33.4141541583984 14.4884329802101, 33.414177108129 14.4883516858196, 33.4142078905137 14.4883599351371, 33.4141849407935 14.4884412295308))",7G6MFCQ7+9M3X
20,15.62216374,32.44412855,32.6604,0.7402,"POLYGON((32.4441386657963 15.6221175555502, 32.4441488408448 15.622206663112, 32.4441184321363 15.622209924012, 32.4441082570985 15.6221208164493, 32.4441386657963 15.6221175555502))",7G7JJCCV+VM6C
21,15.41932138,32.54634117,23.778,0.7269,"POLYGON((32.5463680369127 15.4193037807713, 32.5463645237787 15.4193431984811, 32.546314289599 15.4193389855381, 32.5463178027422 15.4192995678294, 32.5463680369127 15.4193037807713))",7G7JCG9W+PGGX
22,15.45292227,32.51346002,9.3215,0.6977,"POLYGON((32.5134761794875 15.4529106874038, 32.5134710043738 15.4529385895933, 32.5134438503226 15.4529338520155, 32.5134490254399 15.4529059498267, 32.5134761794875 15.4529106874038))",7G7JFG37+598W
23,15.62012719,32.5019751,214.7647,0.8897,"POLYGON((32.5020541580344 15.6200735093494, 32.5020345341081 15.6202009002836, 32.5018960423078 15.6201808648423, 32.5019156663175 15.6200534739229, 32.5020541580344 15.6200735093494))",7G7JJGC2+3Q52
24,15.30542458,32.8697519,9.9246,0.7355,"POLYGON((32.8697668486097 15.3054099625482, 32.869770801773 15.3054339339999, 32.8697369529638 15.3054391924314, 32.8697329998043 15.3054152209792, 32.8697668486097 15.3054099625482))",7G7J8V49+5W6R
25,15.18280108,33.12455988,34.8998,0.8381,"POLYGON((33.1245885699486 15.1827675969194, 33.1245666657373 15.1828441440192, 33.1245311969902 15.1828345716285, 33.1245531012133 15.1827580245321, 33.1245885699486 15.1827675969194))",7G7M54MF+4RF5
26,15.93452409,33.80379801,17.6447,0.6579,"POLYGON((33.8038157657195 15.9345023457109, 33.8038126442666 15.934547922234, 33.8037802241838 15.9345458435268, 33.8037833456442 15.9345002670039, 33.8038157657195 15.9345023457109))",7G7MWRM3+RG3W
27,15.59754148,32.56824582,31.5288,0.8339,"POLYGON((32.5682647309843 15.5975737585742, 32.5682216991825 15.5975703183322, 32.5682269000203 15.5975092105217, 32.5682699318101 15.5975126507624, 32.5682647309843 15.5975737585742))",7G7JHHX9+279Q
28,15.76141216,32.44171984,12.0821,0.774,"POLYGON((32.4417393705646 15.7613994512458, 32.4417385861122 15.7614259506206, 32.4417003016876 15.7614248877709, 32.4417010861449 15.7613983883964, 32.4417393705646 15.7613994512458))",7G7JQC6R+HM9C
29,15.64625898,32.53012866,97.4654,0.8178,"POLYGON((32.5301533533127 15.646186449686, 32.530161467353 15.646328374335, 32.5301033721588 15.646331055404, 32.5300963935232 15.6461890783577, 32.5301533533127 15.646186449686))",7G7JJGWJ+G326
30,14.2459958,32.8113005,19.484,0.7932,"POLYGON((32.8113185195641 14.2459737957546, 32.811322441525 14.2460141176355, 32.8112824802289 14.2460178155221, 32.8112785582751 14.2459774936406, 32.8113185195641 14.2459737957546))",7G6J6RW6+9GVW
31,15.25574429,32.52136402,6.0759,0.6889,"POLYGON((32.5213757417847 15.2557334351035, 32.5213747307135 15.2557560894551, 32.5213522889674 15.2557551454849, 32.5213533000411 15.2557324911335, 32.5213757417847 15.2557334351035))",7G7J7G4C+7GXP
32,16.6688372,33.42317302,11.7458,0.7789,"POLYGON((33.4231994298759 16.6688444491387, 33.4231872103133 16.6688598713135, 33.4231465987332 16.6688299743337, 33.4231588182972 16.6688145521612, 33.4231994298759 16.6688444491387))",7G8MMC9F+G7MG
33,15.13103754,33.38544043,29.8607,0.7731,"POLYGON((33.3854612537045 15.1310051032718, 33.3854565752163 15.1310724064243, 33.3854195718055 15.1310699792376, 33.3854242503054 15.1310026760856, 33.3854612537045 15.1310051032718))",7G7M49JP+C58C
34,15.01801067,33.2793611,21.0905,0.8104,"POLYGON((33.2793865870261 15.0179950212616, 33.2793769053263 15.0180356246583, 33.2793356266509 15.0180263270076, 33.2793453083582 15.0179857236125, 33.2793865870261 15.0179950212616))",7G7M279H+6P5G
35,15.65132024,32.62847556,54.7868,0.8533,"POLYGON((32.628469333888 15.6513818431559, 32.6284335076465 15.6513668340569, 32.6284817960744 15.6512586203828, 32.6285176223011 15.6512736294736, 32.628469333888 15.6513818431559))",7G7JMJ2H+G9HR
36,15.28806746,32.9359411,31.6818,0.6907,"POLYGON((32.9359701815865 15.2880450396654, 32.9359676074523 15.2880926933706, 32.9359120175266 15.2880898641473, 32.9359145916737 15.2880422104427, 32.9359701815865 15.2880450396654))",7G7J7WQP+69GJ
37,14.16592892,33.51582673,40.2359,0.8303,"POLYGON((33.5158698933936 14.1659117203196, 33.5158670632724 14.1659517329809, 33.5157835813858 14.1659461113278, 33.5157864115216 14.1659060986672, 33.5158698933936 14.1659117203196))",7G6M5G88+98G3
